Report generated on: 07-12-2024 00:33:58
"API","","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"","petroleum and other liquids production (Mb/d)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"INTL.53-1-BIH-TBPD.A","        Bosnia and Herzegovina","","","","","","","","--","--","--","--","--","--","--","--","--","--","--","--","0","","","","","","","","","","","","0","0","-0.073","-0.059","-0.093","-0.0813","-0.0127","0.05727","0.1061","0.2","0.1707","0.1923","0.1865","0.1942","0.1966","0.1993","0.1884","0.20605362283020215","0.2031851416578563","0.2081702870871233",""
"INTL.53-1-BWA-TBPD.A","        Botswana","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"INTL.53-1-BRA-TBPD.A","        Brazil","","","","","","","","245","283","348","460","614","734","740","768","751","790","821","838","824","669.6273972602739","686.9078958904109","711.6971671232877","801.1066803278688","861.6040301369864","995.9923808219178","1129.3510739726028","1268.05668852459","1336.3294849315068","1499.0337150684932","1548.2236465753424","1584.547092896175","1756.6056767123287","1863.8530054794521","1895.9335342465754","2429.4303098360656","2554.2000465753426","2714.3093904109587","2687.0416534246574","2655.8519349726776","2697.2732616438357","2954.4714328767122","3170.1922643835615","3219.382080327869","3356.2156535086465","3412.790656374907","3659.46013941937","3767.5390111101638","3689.5498106128525","3810.2661886880724","4281.785796001285",""
"INTL.53-1-VGB-TBPD.A","        British Virgin Islands","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"INTL.53-1-BRN-TBPD.A","        Brunei","","","","","","","","270","188","179","187","175","168","181","150","148","142","160","171","178","190.5205479452055","183.66027397260274","182","172","170.5945205479452","165","189","195","203","209.36712328767123","213","210.31264480874316","205.95945205479453","220.32697260273972","189.9666301369863","157.7529387978142","148.8236191780822","153.29123150684933","169.3428410958904","158.7005382513661","135.44874931506848","126.78161095890411","126.96547671232877","120.99198797814208","113.3402506849315","111.58755479452054","121.5264410958904","109.9940912568306","106.71072264925259","93.65686407747589","94.65103046320928",""
"INTL.53-1-BGR-TBPD.A","        Bulgaria","","","","","","","","3","3","3","3","4","6","-0.2","0.09789268493151","-1.5","4.7","3.5","0.03394316988493","0.4","1","1","0.8","0.8","0.8","0.8","0.5","0.5","0.5","1","1","3.661","3.357","3.378","3.125","3.4224","3.0794","3.0589","2.9946","3.3832","3.6614","2.854791780821918","3.9468","4.2034","6.0457","6.0647","6.0875","5.9982","6.142786379499914","6.119306322579973","6.1601399615128765",""
"INTL.53-1-BFA-TBPD.A","        Burkina Faso","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"INTL.53-1-MMR-TBPD.A","        Burma","","","","","","","","30","27","30","30","32","30","24","17","14","16","14","16","15","13","13","9","8","8","8","8","12","12.851232876712329","16.2","19.904120547945205","20.246879781420766","22.751","21.791","21.793","22.03923442622951","18.709731506849316","21.045067123287673","20.636","20.5894","20.5829","20.196242465753425","15.5365","15.5264","11.5399","9.544","8.5488","8.387275409836066","8.185948606313213","7.955364038581009","7.744838393504603",""
"INTL.53-1-BDI-TBPD.A","        Burundi","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"INTL.53-1-CPV-TBPD.A","        Cabo Verde","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"INTL.53-1-KHM-TBPD.A","        Cambodia","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","0","0","0","0","0","0.6","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"INTL.53-1-CMR-TBPD.A","        Cameroon","","","","","","","","58","87","109","114","135","185","177","174","163","170","161","153","140","130","116","100.97260273972603","107","116.97260273972603","121.45205479452055","113.98630136986301","113.77637978142077","102.8489808219178","108.2087698630137","102.18142191780822","97.59576229508197","89.84597260273972","91.88719178082192","86.83584931506849","81.76153661202186","77.3506095890411","65.4585","62.12417397260274","63.3659","62.99956438356164","75.3438","98.3637","92.3527","76.32675205461643","69.22649452039727","69.59111143003288","67.02330056477595","63.61319304553604","61.26202583780879","54.395390036268985",""
"INTL.53-1-CYM-TBPD.A","        Cayman Islands","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"INTL.53-1-CAF-TBPD.A","        Central African Republic","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"INTL.53-1-TCD-TBPD.A","        Chad","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","32.6986301369863","173.0737704918033","170","156.24657534246575","144","127.1639344262295","119.47123287671234","122.52054794520548","114.96438356164384","104.48360655737704","100","121","123","114","127.919117","131.5152395342137","128","122.75409836065573","105.52328767123288","109.56438356164384","124.01095890410959",""
"INTL.53-1-CHN-TBPD.A","        China","1089.8794520547945","1315.131506849315","1490.013698630137","1669.7513661202186","1873.9424657534246","2082.0986301369862","2122.06301369863","2113.8524590163934","2012.4383561643835","2045","2119.6027397260273","2295.6693989071036","2505.1643835616437","2620.2876712328766","2690","2730.3196721311474","2756.7917808219177","2773.9991589041097","2835.0004301369863","2844.663105511848","2912.145205479452","2921.8257369863013","3000.4984767123287","3138.090786885246","3214.4561315068495","3224.4758684931508","3203.4042054794522","3260.871844262295","3290.2059643835614","3352.2964630136985","3402.269624657534","3756.644986338798","3856.4392876712327","3930.1622383561644","4028.7088684931505","4169.733267213115","4196.292306849315","4557.519473972603","4616.179716438356","4707.142516939891","4840.534912328767","4982.802594520548","5103.410150684931","4838.198454644808","4688.222720253334","4706.352145322893","4825.0358503823345","4828.245993685079","4964.475354372053","5117.647527051633","5261.236085712133",""
"INTL.53-1-COM-TBPD.A","        Comoros","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"INTL.53-1-COG-TBPD.A","        Congo-Brazzaville","35","61","37","39","33","33","57","65","83","89","87","121","120","119","123","144","164","165","156","174","188.78082191780823","176","180.4794520547945","200.47267759562843","225.15068493150685","249.44657534246576","266.9972630136986","265.1809262295082","247.56005753424657","238.4389698630137","216.87876712328767","224.7071830601093","246.44563835616438","278.08069863013696","223.4084602739726","239.8934918032787","274.5362739726027","345.98151643835615","295.8984520547945","270.448349726776","248.09452602739725","241.06848493150684","245.2764","204.80032513661203","252.64239007174794","347.2824123191918","335.49581749638355","288.96545325485243","270.74874728964585","279.34810531007315","266.7677360351194",""
"INTL.53-1-COD-TBPD.A","        Congo-Kinshasa","","","","","","","","20","20","23","25","32","33","32","32","30","28","29","28","26","23","25","28","29","28","26","26","23","25","23","26","28","25","24","24","19.957650273224044","22","21","20.161643835616438","20","20","20","20","20","19","25","24","23","22","21","19",""
"INTL.53-1-COK-TBPD.A","        Cook Islands","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"INTL.53-1-CIV-TBPD.A","        Cote d'Ivoire","","","","","","","","2","8","10","24","28","29","20","18","12","1.7","1.7","1.8","1.3","6","7","7","16","14","10","10","7","6","15.863013698630137","22.931506849315067","24.777","40.936","63.297","49.044","59.90072732240437","58.3908602739726","44.434876712328766","40.14944109589041","38.56130054644809","37.8395","36.8107","30.638501369863015","41.545090163934425","39.086376","38.04986","40.404989","37.79513736536885","34.1093229552042","31.410251129460182","30.541483391030958",""
"INTL.53-1-HRV-TBPD.A","        Croatia","","","","","","","","--","--","--","--","--","--","--","--","--","--","--","--","41","39.487671232876714","38.756923287671235","38","35.89147267759563","37.17418082191781","33.78827123287671","31.757813698630137","28.289338797814207","27.312923287671232","25.175334246575343","24.092539726027397","26.592355191256832","24.197383561643836","23.543753424657535","23.495424657534247","21.962566666666667","23.93752191780822","23.040261643835617","20.706254794520547","19.907933333333332","19.733260273972604","19.200430136986302","17.77737808219178","17.554367213114755","17.96093698630137","17.97708082191781","17.614609589041095","15.8241956284153","15.50214060005226","15.09152099938159","14.475327420282191",""
"INTL.53-1-CUB-TBPD.A","        Cuba","","","","","","","","6","9","11","13","16","19","17","17","13","13","12","12","16","20","23","26","26","26","30","38","51.131","54.796","66.04","68.074","60.895","54.186","53.606","53.095","52.774","48.638","58.755","59.719","59.615","57.855","58.56","53.763","48.376","47.008","45.99","40.969","39.468300546448084","36.82968150485937","34.599717175532376","32.60660448987151",""
"INTL.53-1-CYP-TBPD.A","        Cyprus","","","","","","","","0","0","0","0","0","0","0.0194789579452054","-0.0147335736068493","-0.0112737022909837","0.0226569510315068","0.0465942273342465","-0.0344916283068494","-0.1","","","","","","","","","","","","-0.073","0.02","0.02","0.02","0.2","0.2","0.11","0.13","0.13","0.04","0.03","0","0.01","0","0","0","0","0","0","0",""
"INTL.53-1-DJI-TBPD.A","        Djibouti","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"INTL.53-1-DMA-TBPD.A","        Dominica","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"INTL.53-1-DOM-TBPD.A","        Dominican Republic","","","","","","","","1","1","1","1","1","1","-0.2","0.0435133825863016","0.0371532626000001","0.0904710671232876","-0.1","-0.2","-0.9","","","","","","","","","","","","-0.449","-0.389","-0.309","-0.392","-0.255","0.03028","-0.0348","-0.0851","-0.08339999999999999","-0.0868","-0.0296","-0.08990000000000001","-0.0872","-0.0909","-0.0919","-0.0932","-0.0881","-0.0963548539537009","-0.09501385890089653","-0.09724697746995617",""
"INTL.53-1-ECU-TBPD.A","        Ecuador","208.78082191780823","177.04109589041096","160.85753424657534","187.52732240437157","183.39989315068493","201.7890410958904","214.06849315068493","204.15300546448088","211.16438356164383","210.86301369863014","237.12328767123287","257.92349726775956","281.24383561643833","293.2739726027397","174.0958904109589","302.1530054644809","278.7972602739726","285.041095890411","299.06575342465754","320.99954918032785","341.65479452054797","379.2246575342466","384","382.8360655737705","391.1135506849315","378.1418684931507","375.74869863013697","404.1540683060109","432.7901205479452","393.89101369863016","422.6574602739726","526.7708825136611","534.6720191780822","538.703591780822","505.68847123287674","507.75770218579237","488.509197260274","489.1028767123288","502.13402191780824","507.6430792349727","531.0234082191781","561.5420575342466","548.3688410958904","552.4072295081967","535.9282876712329","522.2432662301864","536.3766893671342","484.8638239071202","475.6496458626358","483.7680670056169","478.0209226663616",""
"INTL.53-1-EGY-TBPD.A","        Egypt","164.9999808219178","149.9999287671233","235.00004657534245","330.0000519125683","414.9999698630137","485.0002712328767","524.9999808219178","594.9997377049181","597.9997589041096","670.000098630137","727.0287698630137","821.9999016393442","887.0000630136987","813.0001260273973","896.0000082191781","848.0000601092896","865.0003315068493","873.0007260273973","874.0011232876712","881.2188469945355","959.5616438356165","931","933","913","878","857","838","711.2113524590164","701.3217205479452","697.9362767123288","714.5203178082191","740.2960327868852","641.6489753424657","641.0235726027397","658.0788630136987","668.9829071038251","680.2043287671233","694.9824246575342","702.2116438356164","704.8338196721312","707.3573835616438","707.0174520547945","717.4431643835617","685.4975136612022","711.5735257534246","729.8128230136987","716.8338123287671","681.5823172131147","659.82190632083","666.6487442187587","666.3163873368911",""
"INTL.53-1-SLV-TBPD.A","        El Salvador","","","","","","","","0","0","0","0","0","0","0.00263546031890413","-0.047689205260274","-0.0552833555857924","0.0150815799479452","-0.0615051709030137","-0.1","-0.0431070222896176","","","","","","","","","","","","-0.204","0.966","5.308","4.297","4.197","1.823","-0.442","-0.305","-0.254","0.003","0.003","0","0","0","0.003","0.003","0.003","0.003","0.003","0.003",""
"INTL.53-1-GNQ-TBPD.A","        Equatorial Guinea","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0.1","1.6","","4.671232876712328","7.756164383561644","17.6775956284153","59.778082191780825","81.52054794520548","102.32602739726028","117.60382513661202","193.92054794520547","230.24657534246575","265.9972602739726","374.6748633879781","380.1807095890411","375.7621315068493","363.2574630136986","359.20315300546446","346.01606849315067","322.7103835616438","298.8880328767123","310.4","290.7972602739726","278","268","244","202.77876712328768","184.98438356164382","166.76712328767124","157.56284153005464","142.56164383561645","128.3835616438356","97.53792432777534",""
"INTL.53-1-ERI-TBPD.A","        Eritrea","","","","","","","","--","--","--","--","--","--","--","--","--","--","--","--","--","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"INTL.53-1-SWZ-TBPD.A","        Eswatini","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0.431","0.551","0.827","0.827","0.775","0.81","0.775","0","0","0","0","0","0","0",""
"INTL.53-1-ETH-TBPD.A","        Ethiopia","","","","","","","","0","0","0","0","0","0","-0.3","-0.3","-0.3","-0.3","-0.3","-0.05196","-0.1","","","","","","","","","","","","0","0","0","0","0.1","0.1","0.1","0.1","0.1","0.167","0.211","0.296","0.354","0","0","0","0","0","0","0",""
"INTL.53-1-FLK-TBPD.A","        Falkland Islands","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"INTL.53-1-FRO-TBPD.A","        Faroe Islands","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"INTL.53-1-FJI-TBPD.A","        Fiji","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0",""
"INTL.53-1-SCG-TBPD.A","        Former Serbia and Montenegro","","","","","","","","--","--","--","--","--","--","--","--","--","--","--","--","23","25","21.56","21.32","20.544","19.58","18.26","17","20","18","16","15","16.612","15.585643835616438","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",""
"INTL.53-1-SUN-TBPD.A","        Former U.S.S.R.","8323.972602739726","8912.035616438356","9523.032876712328","10060","10602.934246575342","11105.117808219178","11384.219178082192","11705.934426229509","11850.063013698631","11911.928767123287","11971.753424657534","11860.74863387978","11584.745205479452","11894.824657534247","12050.162520502225","12053.431647683778","11715.091110914716","10975.042966439616","9992.004236297558","--","","","","","","","","","","","","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--","--",""
